ID,Section,Title,Abstract,Byline,Item_type,Source,Published_date,Material_type_facet,Counter
1,Sports,Ngannou Keeps U.F.C. Heavyweight Crown Amid Contract Dispute,"Francis Ngannou beat Ciryl Gane in the absence of Dana White, the U.F.C. president, who is faced with renewing the champion’s contract.",BY MORGAN CAMPBELL,Article,New York Times,2022-01-02,News,1
2,Sports,Bruce Arians says the Buccaneers won’t just ‘dink and dunk.’,NO RECORD,BY ALANIS THAMES,Article,New York Times,2022-01-02,Live Blog Post,1
3,Sports,Jalen Ramsey and Odell Beckham should create decisive matchups against the Buccaneers.,NO RECORD,BY ALANIS THAMES,Article,New York Times,2022-01-02,Live Blog Post,1
4,Health,Fauci cautions against overconfidence but says the U.S. wave looks like it’s ‘going in the right direction.’,Dr. Anthony S. Fauci did say that there “may be a bit more pain and suffering with hospitalizations in those areas of the country” with lower vaccination rates.,BY KENNETH CHANG,Article,New York Times,2022-01-02,News,1
5,Health,"A Shrinking Band of Southern Nurses, Neck-Deep in Another Covid Wave","The exodus of medical workers during the pandemic has been especially brutal for the small, nonprofit safety-net hospitals where millions of Americans seek care.",BY ANDREW JACOBS AND RORY DOYLE,Article,New York Times,2022-01-02,News,1
6,World,"In Greece, a String of Killings Pushes Domestic Abuse Into the Spotlight",Several deadly assaults on women by their partners appear to have encouraged more victims to speak up in a country where such attacks have rarely been publicly discussed.,BY NIKI KITSANTONIS,Article,New York Times,2022-01-02,News,1
7,World,Fast-rising case numbers have Japan scrambling to provide booster shots.,NO RECORD,BY BEN DOOLEY,Article,New York Times,2022-01-02,Live Blog Post,1
8,Sports,Ashleigh Barty Mixes It Up and Heads to Australian Open Quarterfinals,"Barty, the world No. 1, kept Amanda Anisimova, who upset Naomi Osaka in the previous round, moving and out of sync in the fourth round. Barbora Krejcikova also advanced.",BY CHRISTOPHER CLAREY,Article,New York Times,2022-01-02,News,1
9,Style,"Nino Cerruti, Designer Who Revolutionized Men's Wear, Dies at 91","He loosened up men’s suits with unstructured tailoring and supple fabrics. He also dressed generations of movie stars, onscreen and off.",BY PENELOPE GREEN,Article,New York Times,2022-01-02,Obituary (Obit),1
10,Health,Social Security Opens to Survivors of Same-Sex Couples Who Could Not Marry,"Challenging a policy that limited survivor’s benefits to married couples, even though some couples were legally barred from marriage, took years.",BY PAULA SPAN,Article,New York Times,2022-01-02,News,1
11,Opinion,Is the U.S. on the Verge of a Civil War?,"Readers respond to columns by Ross Douthat and Michelle Goldberg. Also: Bosses who are jerks; voter suppression, then and now.",NO RECORD,Article,New York Times,2022-01-02,Letter,1
12,World,"In Wuhan, China, the anniversary of the world’s first lockdown passes quietly.","As China battles the highly contagious Omicron variant shortly before the Winter Olympics are set to begin in Beijing, Wuhan has so far been spared.",BY AUSTIN RAMZY,Article,New York Times,2022-01-02,News,1
13,Opinion,Ann Coulter Is Rooting for a Trump-DeSantis Throw-Down. She’s Not Alone.,The former president and the governor of Florida are on a collision course for the future of the G.OP.,BY MICHELLE COTTLE,Article,New York Times,2022-01-02,Op-Ed,1
14,Opinion,Can We Turn a Desert Into a Forest?,"After years of planting trees, farmers in Niger have begun to see results.","BY RAUL ROMAN, LAUREN KELLY, RAFE H. ANDREWS AND NICK PARISSE",Article,New York Times,2022-01-02,Op-Ed,1
15,Opinion,Why Pakistan’s Army Wants the U.S. Back in the Region,"As U.S.-China competition intensifies, Pakistan’s army fears getting trapped in a cul-de-sac with Beijing.",BY ARIF RAFIQ,Article,New York Times,2022-01-02,Op-Ed,1
16,Food,A (Very Late) Christmas Dinner,Let nothing stop you from making a festive dinner of ham and scalloped potatoes on any old Sunday.,BY SAM SIFTON,Article,New York Times,2022-01-02,Letter,1
17,World,Gunfire Rattles Burkina Faso’s Capital as Soldiers Revolt,"The government denied rumors of a coup, but soldiers who want changes to the campaign against Islamists appear to have taken control of several military bases.",BY DECLAN WALSH,Article,New York Times,2022-01-02,News,1
18,Arts,"Badal Roy, Who Fused Indian Rhythms With Jazz, Is Dead at 82","He collaborated across cultures, playing tabla with Miles Davis, Ornette Coleman, John McLaughlin and others in the jazz world and beyond, including Yoko Ono.",BY JON PARELES,Article,New York Times,2022-01-02,Obituary (Obit),1
19,World,Pakistan says only fully vaccinated people will be allowed in mosques.,NO RECORD,BY ZIA UR-REHMAN,Article,New York Times,2022-01-02,Live Blog Post,1
20,U.S.,Virtual schooling hurt students. So why is the federal government paying for virtual tutoring?,NO RECORD,BY DANA GOLDSTEIN,Article,New York Times,2022-01-02,Live Blog Post,1
21,U.S.,Coronavirus tests from the U.S. government have begun to arrive at some homes.,NO RECORD,BY AMANDA HOLPUCH,Article,New York Times,2022-01-02,Live Blog Post,1
22,World,"For Winter Olympians, the last hurdle before the competition is staying healthy.",NO RECORD,BY ANDREW KEH,Article,New York Times,2022-01-02,Live Blog Post,1
23,World,"For small U.S. towns, just one coronavirus infection can put governance at risk.",NO RECORD,BY JILL COWAN,Article,New York Times,2022-01-02,Live Blog Post,1
24,Arts,Can Works Like ‘Don’t Look Up’ Get Us Out of Our Heads?,"In the doomsday smash and Bo Burnham’s pandemic musical “Inside,” themes of climate change, digital distraction and inequality merge and hit home.",BY MAYA SALAM,Article,New York Times,2022-01-02,News,1
25,Arts,"Dan Einstein, Champion of Singer-Songwriters, Is Dead at 61",He operated independent record labels for John Prine and Steve Goodman that took a critically praised (and award-winning) artist-driven approach.,BY BILL FRISKICS-WARREN,Article,New York Times,2022-01-02,Obituary (Obit),1
26,Science,This Ancient Crab Had Unusually Huge Eyes,A study of fossils from Colombia suggests that a prehistoric shellfish hunted prey with remarkably sharp vision.,BY ASHER ELBEIN,Article,New York Times,2022-01-02,News,1
27,World,Cameroon Nightclub Fire Kills at Least 16,"The blaze was caused by explosions from fireworks used in the venue, the government said in a statement reported by news agencies.",BY ISABELLA KWAI,Article,New York Times,2022-01-02,News,1
28,The Learning Network,"What’s Going On in This Picture? | Jan. 23, 2022","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",BY THE LEARNING NETWORK,Article,New York Times,2022-01-02,News,1
29,Business,The Week in Business: A Big Bet on Gaming,"Intel announces plans for a $20 billion chip manufacturing complex in Ohio. With Omicron beginning a retreat, is a “new normal” coming? And the Fed meets, with inflation high on the agenda.",BY SARAH KESSLER,Article,New York Times,2022-01-02,News,1
30,en Español,Quiero que mi hijo aprenda a ser perezoso,El mundo está en llamas; el descanso ayudará a apagarlas.,BY ELLIOT KUKLA,Article,New York Times,2022-01-02,Op-Ed,1
31,Sports,"At the Australian Open, Taylor Fritz Finally Breaks Through","The American has reached the fourth round of a Grand Slam tournament for the first time in his career, and he credits believing in himself through good times and bad.",BY BEN ROTHENBERG,Article,New York Times,2022-01-02,News,1
32,Sports,A Grand Slam Streak Without (Yet) a Quarterfinal,"Since 2007, Alizé Cornet of France hasn’t missed a single Grand Slam main draw.",BY BEN ROTHENBERG,Article,New York Times,2022-01-02,News,1
